84525	100599	- zijpanelen gemaakt uit eikenhout.  - kunstig uitgesneden stengels en grote bloementrossen (men kan de indruk hebben dat het druiventrossen zijn en daarboven vogelkoppen met scherpe, gekromde snavel)  - het geheel is een mooi doorzichtig kunstwerk.			doksaal	Onbekend
84526	100600	"- Louis Delhaye de Jonge bouwde.  - omgebouwd in 1936 in opdracht van pastoor Ch. Camerman.  (grondige herstelling drong zich op)  - Het groot ortgel bevat nog vier spelen van Delhaye, het zwelwerk nog twee.  - \""vermoedelijk was het intsrument oorspronke"	/		orgel	Daem
84526	100600	"- Louis Delhaye de Jonge bouwde.  - omgebouwd in 1936 in opdracht van pastoor Ch. Camerman.  (grondige herstelling drong zich op)  - Het groot ortgel bevat nog vier spelen van Delhaye, het zwelwerk nog twee.  - \""vermoedelijk was het intsrument oorspronke"	/		orgel	Delhaye, Louis
84527	100607					
84528	100608	In voetstuk S.J. monogram. Bovenaan beeld van de Heilige Jozef.			(Vooraan links in zijbeuk)	
84529	100609	In voetstuk S.J. monogram. Bovenaan beeld van O.L.Vrouw met kind.			(Vooraan rechts in zijbeuk)	
84530	100610	Moderne ballustrade.			(Achteraan - middenbeuk)	
84531	100611	Ingmest.			(Links en rechts in zijbeuken)	
84532	100612	Vier panelen afgewerkt met rozetmotief. Panelen gescheiden door kleine Toscaanse kolonnen.			(Vooraan links in koor)	
84533	100613	Vier panelen afgewerkt met rozetmotief. Panelen gescheiden door kleine Toscaanse kolonnen.			(Vooraan rechts in koor)	
84534	100614	"Modern. Post-concilie. Met relikwiën voor celebratie \""fac ad pop\""."			Misaltaar (vooraan midden volk gekeerd)	
84535	100615	Modern.			(Vooraan rechts in koor)	
84536	100616	Houten zitbank voor de misdienaars. Zittingen in bruine skai.			(Vooraan links in koor)	
84537	100617	Modern. Bekroond met koperen kruis.			(op hoofdaltaar)	
84538	100618	Op kruising kopeen zon en INRI. Kruisarmuiteinden versierd met bloemmotief in lelievorm.			(in sacristie)	
84539	100629	Vergulde zilveren monstrans. Op voet cartouches met H.Christoffel en H.Antonius Abt. Drie niet geïdentificeerde merken o.a. M en Bergen (?). Gedateerde eigendomsinscriptioe van de kerk 1671 op voet. Met parels en engeltjes. Bovenaan kruisje.		Mons		
84540	100630	- arduinen doopvont gedragen door 4 zuilen   - deksel in messing  - doopkuip versierd met kruis binnen een cirkel  - vervaardiger: steenkapper Jean Boury uit Balegem			Doopvont	
84541	100631					
84542	100652					
84543	100654	- buste van Christus met doornenkroon (driedimensionaal)  - bas-reliëf van Christus met doornenkroon die kruis draagt			Twee bustes van Christus	
84544	100655	- balustervormig handvat met knorrenfriezen				
84545	100656	- ronde voet   - stam met schildje met Mariamonogram  - ronde vetvanger met leliefries				
84546	100658	- cirkel met bovenaan leliefries en onderaan bladfries en versierd met rozetten  - zes stammen met ronde vetvanger met leliefries en geëlektrificeerde kaars  - drie kettingen met knopen die naar een cirkelvormige bekroning met leliefries gaan				
84547	100659	- geprofileerde steuntjes  - S-vormige handgreep in bovenvlak				
84548	100661	- drie licht geajoureerde steunen   - opklapbaar deksel met hangslot				
84549	100662	- sobere vormgeving  - hangslotje  - opschrift in zwarte verf met sticker over				
84550	100664	- bovenaan motief van hostiedragende kelk geflankeerd door twee gevleugelde engelenkopjes in de wolken samen met korenaren en druiventrossen  - onderaan banier met opschrift: Requiescat in pace en doodshoofd  - Priester Joannes Bays Verlijsen				
84551	100666	"- rondboog op voluutconsoles in donkere natuursteen  - kapitelen en sluitsteen in wit marmer  - tekst gebeiteld in wit marmer en letters zwart ingeschilderd  - bovenaan \""Aeternitas\"" met slang die eigen staart opeet  - Johan Ferdinand Blomme"				
84552	100669	- schouderboog met krullen, bladmotief en twee doodshoofden  - motief van hostiedragende kelk met gevleugelde engelenkopjes in wolkenboog  - onderaan in de hoeken schelpmotief met bladwerk  - Jacobus De Schuyfelaer				
84553	100672	- schouderboog met krullen en acanthusbladeren  - Joseph De Camer  - Isabelle van Praet  - Catharina Theresia Van Outrive				
84554	100705	akolietkandelaar				
84555	100706	akolietkandelaar				
84556	100707	- Kandelaars met 3-zijdige voet op klauwpoten, acanthusbladeren op de hoeken, palmetfries onderaan.  - 3 zijden ingevuld met voorstellingen van het Lam van de Apocalypsis, brandend hart en O.L. Vrouw met kind  - Bovenaan drie gevleugelde engelenkopjes  -				
84557	100708	"- Houten kader beschilderd met hout-immitatie. Links inscriptie \""ANTE MISSAM\"", rechts inscriptie \""POST MISSAM\""  - Porseleinen sacristiefonteintje met blauw leliefries (atelier Bressers Gent).  - Met schaal van Bog  - Bressers-Blanchaert A. [firma] (ke"		Gent	lavabo (liturgisch)	
84558	100709					
